"id" "host_is_superhost" "host_identity_verified" "room_type" "accommodates" "bathrooms" "bedrooms" "price"
27554308 "False" "False" "Private room" 2 1 1 62
27627252 "True" "False" "Entire home/apt" 4 1 2 120
27682114 "False" "False" "Entire home/apt" 2 1 1 191
27706051 "True" "True" "Private room" 4 1 2 250
28202957 "True" "False" "Entire home/apt" 6 1 2 90
28558249 "True" "False" "Private room" 5 1.5 1 150
28559462 "True" "False" "Private room" 2 1.5 1 120
28786706 "True" "True" "Private room" 1 1 1 72
28841487 "True" "True" "Private room" 1 1 1 72
29159086 "False" "True" "Entire home/apt" 16 3 5 300
29275038 "False" "True" "Entire home/apt" 6 1 2 115
29278900 "False" "True" "Entire home/apt" 6 1 1 100
29396603 "True" "True" "Entire home/apt" 2 1 1 125
29628945 "True" "False" "Entire home/apt" 6 1 2 200
29652423 "False" "False" "Private room" 1 1 1 32
30430318 "False" "True" "Entire home/apt" 16 3 5 400
30745805 "False" "True" "Entire home/apt" 2 1 1 75
30866340 "False" "True" "Entire home/apt" 10 2.5 3 300
30916586 "True" "True" "Entire home/apt" 6 2.5 2 159
31002479 "False" "True" "Entire home/apt" 14 2 4 325
31224895 "False" "True" "Entire home/apt" 11 3.5 4 250
31462782 "True" "False" "Entire home/apt" 2 1 0 105
31562982 "True" "False" "Entire home/apt" 4 1 1 125
31565134 "True" "False" "Entire home/apt" 6 2.5 3 229
31644836 "False" "True" "Entire home/apt" 13 2 4 175
31908082 "False" "True" "Entire home/apt" 2 1 1 110
32064854 "False" "False" "Entire home/apt" 4 1 2 99
32338136 "False" "False" "Entire home/apt" 6 2 2 337
32524472 "False" "False" "Entire home/apt" 2 1 1 81
32664028 "False" "False" "Entire home/apt" 4 1 1 285
33079261 "True" "False" "Entire home/apt" 12 2.5 4 395
33276085 "True" "False" "Entire home/apt" 11 3 5 600
33457561 "True" "True" "Entire home/apt" 4 1 1 152
33717119 "True" "True" "Entire home/apt" 3 1 0 229
33827114 "True" "True" "Private room" 2 1 1 71
33828239 "True" "True" "Private room" 2 1 1 71
33900098 "False" "False" "Entire home/apt" 4 2 2 564
33964424 "True" "True" "Entire home/apt" 2 1 1 99
34066096 "True" "False" "Entire home/apt" 7 2.5 2 399
34122419 "False" "False" "Entire home/apt" 3 1 2 300
34571618 "False" "False" "Entire home/apt" 5 1.5 2 180
34690515 "True" "False" "Entire home/apt" 4 1 0 100
34749304 "False" "False" "Entire home/apt" 6 2 2 325
34756492 "True" "False" "Entire home/apt" 4 1 2 113
34787572 "True" "False" "Entire home/apt" 4 1 1 125
34912079 "True" "False" "Entire home/apt" 3 1 1 69
34912429 "False" "False" "Private room" 2 1 1 80
34978518 "True" "False" "Entire home/apt" 6 2 2 250
35378459 "True" "True" "Entire home/apt" 6 2.5 3 325
35426133 "False" "False" "Entire home/apt" 6 1 1 84
35802283 "False" "False" "Private room" 4 1 1 100
35811549 "False" "True" "Entire home/apt" 2 1.5 2 125
36073318 "True" "True" "Entire home/apt" 4 1 1 129
36135642 "True" "False" "Entire home/apt" 2 1 1 135
36279000 "True" "False" "Private room" 1 1.5 1 60
36280575 "False" "False" "Entire home/apt" 10 1 2 499
36316902 "True" "True" "Entire home/apt" 4 1 2 170
36512479 "False" "True" "Entire home/apt" 2 1 1 140
36563572 "True" "False" "Private room" 2 1 1 78
36590385 "False" "True" "Entire home/apt" 6 2 3 385
36632153 "False" "False" "Entire home/apt" 4 1.5 1 185
36732856 "True" "True" "Private room" 4 2 2 85
36796616 "False" "False" "Private room" 1 1 1 40
36830664 "False" "False" "Private room" 1 1.5 1 69
36944491 "True" "False" "Entire home/apt" 7 2.5 2 275
36952483 "False" "False" "Private room" 4 1 2 150
37114431 "True" "True" "Entire home/apt" 4 1 1 140
37178578 "False" "False" "Entire home/apt" 6 2 2 194
37178579 "False" "False" "Entire home/apt" 6 1 2 194
37178580 "False" "False" "Entire home/apt" 6 1 2 194
37178584 "False" "False" "Entire home/apt" 6 1 2 194
37178586 "False" "False" "Entire home/apt" 6 1 2 194
37178588 "False" "False" "Entire home/apt" 6 2 2 194
37178624 "False" "False" "Entire home/apt" 6 2 2 194
37453565 "True" "False" "Entire home/apt" 4 2 2 127
37558345 "False" "False" "Entire home/apt" 6 1 2 194
37558347 "False" "False" "Entire home/apt" 6 1 2 194
37853362 "False" "False" "Entire home/apt" 4 1 1 159
37853363 "False" "False" "Entire home/apt" 5 2 2 194
37853365 "False" "False" "Entire home/apt" 5 1 2 194
37853366 "False" "False" "Entire home/apt" 4 1 1 159
37853384 "False" "False" "Entire home/apt" 5 1 2 194
37853385 "False" "False" "Entire home/apt" 5 1 2 194
38024580 "False" "True" "Entire home/apt" 2 1 1 110
38039449 "False" "False" "Entire home/apt" 6 2.5 2 194
38039458 "False" "False" "Entire home/apt" 6 2.5 2 194
38487749 "False" "False" "Entire home/apt" 4 1 1 140
38491779 "True" "True" "Entire home/apt" 2 1 1 139
38640274 "False" "False" "Entire home/apt" 4 2.5 2 150
38728162 "False" "False" "Private room" 1 1.5 1 50
38731031 "False" "False" "Private room" 2 1.5 1 100
38731386 "False" "False" "Private room" 2 1.5 1 100
38962977 "False" "True" "Entire home/apt" 2 1 1 75
38972281 "False" "False" "Entire home/apt" 6 2 2 194
38972285 "False" "False" "Entire home/apt" 6 2 2 194
38972287 "False" "False" "Entire home/apt" 6 2 2 194
39202096 "True" "False" "Entire home/apt" 5 1.5 2 110
39799964 "True" "False" "Entire home/apt" 4 1 1 150
39894313 "False" "False" "Entire home/apt" 8 2 3 231
40006355 "False" "False" "Entire home/apt" 5 3 2 250
40062930 "True" "False" "Entire home/apt" 4 1 2 180
40117589 "False" "False" "Entire home/apt" 2 1 1 150
40400915 "True" "False" "Entire home/apt" 2 1 0 100
